file,important_idx,annotated_idx,min_distance
0X276409ED976E48CA,31,"[np.int64(6), np.int64(9)]",22
0X171B390B95FD0FAE,31,"[np.int64(16), np.int64(19)]",12
0X476B330DE1073521,31,"[np.int64(1), np.int64(3)]",28
0X41744FC51A5EE79B,31,"[np.int64(8), np.int64(10)]",21
0X3C18E7594F18AEB9,31,"[np.int64(16), np.int64(19)]",12
0X2C41E0CF2733C297,31,"[np.int64(8), np.int64(11)]",20
0X259CBD1FA6358DC,31,"[np.int64(8), np.int64(11)]",20
0X7A4ABCBDD9D9F33A,31,"[np.int64(8), np.int64(13)]",18
0X228D178D820A29A2,31,"[np.int64(7), np.int64(10)]",21
0X9776C2BDF17D2F,0,"[np.int64(8), np.int64(10)]",8
0X641187BA5EAA4331,31,"[np.int64(16), np.int64(19)]",12
0X184DEB337FF5AB9,31,"[np.int64(16), np.int64(20)]",11
0X17E51BF21235E28B,31,"[np.int64(17), np.int64(21)]",10
0X23DF57D03E5E2F9B,31,"[np.int64(8), np.int64(11)]",20
0X3A76AD5CC9D50E57,31,"[np.int64(24), np.int64(28)]",3
0X3EA9C5F8DCDD2DEC,31,"[np.int64(8), np.int64(11)]",20
0X73D50DE693F798E3,31,"[np.int64(8), np.int64(11)]",20
0XB72CF150368BAB2,31,"[np.int64(16), np.int64(21)]",10
0X171FD888481D524D,31,"[np.int64(15), np.int64(17)]",14
0X7CA10684E319705F,0,"[np.int64(15), np.int64(17)]",15
0X36CCD2D8878BA51D,31,"[np.int64(15), np.int64(18)]",13
0X636B7F7511BA829B,31,"[np.int64(8), np.int64(11)]",20
0X3B0C001E8B03BB10,31,"[np.int64(8), np.int64(12)]",19
0X69447E46FEDD2A3F,31,"[np.int64(14), np.int64(17)]",14
0X9419D068656DB99,31,"[np.int64(16), np.int64(19)]",12
0X4816823BCF1EDFC6,31,"[np.int64(23), np.int64(26)]",5
0X114B58E6B34E55F1,31,"[np.int64(16), np.int64(18)]",13
0X2FAFDA5737784951,31,"[np.int64(17), np.int64(21)]",10
0X6440E65AC7ED5668,31,"[np.int64(0), np.int64(4)]",27
0X547BE4F7E93BBD8E,31,"[np.int64(8), np.int64(10)]",21
